state_name,metro,geo_name,federal_workers,margin_of_error,share_of_employment
Louisiana,14220,"Bogalusa, LA",220,239,0.015
Idaho,14260,"Boise City, ID",5971,1108,0.015
Texas,14300,"Bonham, TX",628,394,0.039
North Carolina,14380,"Boone, NC",208,232,0.008
Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",34698,2591,0.013
New Hampshire,14460,"Boston-Cambridge-Newton, MA-NH",34698,2591,0.013
Colorado,14500,"Boulder, CO",1843,560,0.011
Kentucky,14540,"Bowling Green, KY",1128,506,0.012
Montana,14580,"Bozeman, MT",1257,630,0.017
Pennsylvania,14620,"Bradford, PA",524,313,0.032
Minnesota,14660,"Brainerd, MN",321,136,0.007
Missouri,14700,"Branson, MO",278,207,0.01
NA,14710,"Brattleboro, VT",200,160,0.009
Colorado,14720,"Breckenridge, CO",296,238,0.013
Washington,14740,"Bremerton-Silverdale-Port Orchard, WA",12678,1687,0.104
Texas,14780,"Brenham, TX",93,123,0.006
North Carolina,14820,"Brevard, NC",211,204,0.015
Connecticut,14860,"Bridgeport-Stamford-Danbury, CT",4197,1211,0.009
NA,14940,"Brigham City, UT-ID",584,257,0.019
Mississippi,15020,"Brookhaven, MS",49,78,0.004
Oregon,15060,"Brookings, OR",106,138,0.017
South Dakota,15100,"Brookings, SD",110,112,0.006
Texas,15180,"Brownsville-Harlingen, TX",3911,980,0.022
Texas,15220,"Brownwood, TX",220,180,0.013
Georgia,15260,"Brunswick-St. Simons, GA",1978,768,0.042
Ohio,15340,"Bucyrus, OH",0,143,0
New York,15380,"Buffalo-Cheektowaga, NY",9972,1386,0.018
Idaho,15420,"Burley, ID",251,182,0.013
Illinois,15460,"Burlington, IA-IL",351,252,0.017
Iowa,15460,"Burlington, IA-IL",351,252,0.017
North Carolina,15500,"Burlington, NC",375,241,0.004
Vermont,15540,"Burlington-South Burlington, VT",2461,613,0.02
Montana,15580,"Butte-Silver Bow, MT",620,369,0.039
Michigan,15620,"Cadillac, MI",398,279,0.019
Georgia,15660,"Calhoun, GA",283,395,0.011
Maryland,15700,"Cambridge, MD",208,153,0.014
Ohio,15740,"Cambridge, OH",121,153,0.008
Arkansas,15780,"Camden, AR",238,142,0.022
Kentucky,15820,"Campbellsville, KY",119,119,0.008
Colorado,15860,"Cañon City, CO",459,309,0.028
NA,15900,"Canton, IL",119,82,0.009
Ohio,15940,"Canton-Massillon, OH",1985,656,0.011
Florida,15980,"Cape Coral-Fort Myers, FL",4486,1071,0.013
Illinois,16020,"Cape Girardeau, MO-IL",795,440,0.016
Missouri,16020,"Cape Girardeau, MO-IL",795,440,0.016
Illinois,16060,"Carbondale, IL",195,135,0.009
New Mexico,16100,"Carlsbad-Artesia, NM",1339,779,0.054
Iowa,16140,"Carroll, IA",12,16,0.001
Nevada,16180,"Carson City, NV",595,368,0.022
Wyoming,16220,"Casper, WY",677,386,0.018
Utah,16260,"Cedar City, UT",438,250,0.015
Iowa,16300,"Cedar Rapids, IA",1576,494,0.012
Georgia,16340,"Cedartown, GA",20,40,0.001
Ohio,16380,"Celina, OH",337,258,0.016
Illinois,16460,"Centralia, IL",47,50,0.003
Washington,16500,"Centralia, WA",643,456,0.019
Pennsylvania,16540,"Chambersburg, PA",1960,705,0.027
Illinois,16580,"Champaign-Urbana, IL",1008,438,0.009
West Virginia,16620,"Charleston, WV",1507,451,0.018
Illinois,16660,"Charleston-Mattoon, IL",429,356,0.02
South Carolina,16700,"Charleston-North Charleston, SC",11134,1889,0.027
North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",15984,2160,0.011
South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",15984,2160,0.011
Virginia,16820,"Charlottesville, VA",2093,707,0.019
Georgia,16860,"Chattanooga, TN-GA",5309,997,0.02
Tennessee,16860,"Chattanooga, TN-GA",5309,997,0.02
Wyoming,16940,"Cheyenne, WY",2282,707,0.051
Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",64639,4641,0.014
Indiana,16980,"Chicago-Naperville-Elgin, IL-IN",64639,4641,0.014
Wisconsin,16980,"Chicago-Naperville-Elgin, IL-IN",64639,4641,0.014
California,17020,"Chico, CA",1194,473,0.013
Ohio,17060,"Chillicothe, OH",810,373,0.027
Indiana,17140,"Cincinnati, OH-KY-IN",18970,2209,0.017
Kentucky,17140,"Cincinnati, OH-KY-IN",18970,2209,0.017
Ohio,17140,"Cincinnati, OH-KY-IN",18970,2209,0.017
West Virginia,17220,"Clarksburg, WV",2035,650,0.056
Mississippi,17260,"Clarksdale, MS",55,72,0.007
Kentucky,17300,"Clarksville, TN-KY",6040,1295,0.047
Tennessee,17300,"Clarksville, TN-KY",6040,1295,0.047
California,17340,"Clearlake, CA",215,154,0.008
Mississippi,17380,"Cleveland, MS",0,152,0
NA,17410,"Cleveland, OH",15773,1743,0.015
Tennessee,17420,"Cleveland, TN",1019,403,0.018
Florida,17500,"Clewiston, FL",104,126,0.005
Iowa,17540,"Clinton, IA",267,202,0.012
New Mexico,17580,"Clovis, NM",1633,711,0.063
Puerto Rico,17620,"Coamo, PR",174,161,0.009
NA,17650,"Cody, WY",560,472,0.039
Idaho,17660,"Coeur d'Alene, ID",1427,592,0.017
Michigan,17740,"Coldwater, MI",260,154,0.014
Texas,17780,"College Station-Bryan, TX",2295,860,0.017
Colorado,17820,"Colorado Springs, CO",15209,1893,0.042
Missouri,17860,"Columbia, MO",2054,679,0.019
South Carolina,17900,"Columbia, SC",10081,1663,0.026
Alabama,17980,"Columbus, GA-AL",5302,1083,0.042
Georgia,17980,"Columbus, GA-AL",5302,1083,0.042
Indiana,18020,"Columbus, IN",285,244,0.007
Mississippi,18060,"Columbus, MS",985,710,0.04
Nebraska,18100,"Columbus, NE",195,179,0.009
Ohio,18140,"Columbus, OH",13162,1642,0.012
New Hampshire,18180,"Concord, NH",1139,389,0.014
Indiana,18220,"Connersville, IN",103,145,0.01
Tennessee,18260,"Cookeville, TN",863,410,0.013
Oregon,18300,"Coos Bay-North Bend, OR",340,206,0.013
NA,18340,"Corbin, KY",1363,702,0.025
Mississippi,18420,"Corinth, MS",137,140,0.009
Georgia,18460,"Cornelia, GA",22,28,0.001
New York,18500,"Corning, NY",322,126,0.008
Texas,18580,"Corpus Christi, TX",5135,1255,0.025
Texas,18620,"Corsicana, TX",250,233,0.01
New York,18660,"Cortland, NY",381,228,0.018
Oregon,18700,"Corvallis, OR",965,472,0.02
Ohio,18740,"Coshocton, OH",41,54,0.003
Indiana,18820,"Crawfordsville, IN",38,58,0.002
California,18860,"Crescent City, CA",285,204,0.025
Florida,18880,"Crestview-Fort Walton Beach-Destin, FL",5807,1104,0.045
Tennessee,18900,"Crossville, TN",248,215,0.01
Alabama,18980,"Cullman, AL",1050,378,0.026
Maryland,19060,"Cumberland, MD-WV",1419,603,0.038
West Virginia,19060,"Cumberland, MD-WV",1419,603,0.038
Texas,19100,"Dallas-Fort Worth-Arlington, TX",57492,4066,0.014
Georgia,19140,"Dalton, GA",603,308,0.009
Illinois,19180,"Danville, IL",718,300,0.027
Kentucky,19220,"Danville, KY",285,220,0.013
Virginia,19260,"Danville, VA",774,349,0.019
Alabama,19300,"Daphne-Fairhope-Foley, AL",1467,742,0.013
Illinois,19340,"Davenport-Moline-Rock Island, IA-IL",5615,1097,0.031
Iowa,19340,"Davenport-Moline-Rock Island, IA-IL",5615,1097,0.031
Ohio,19430,"Dayton-Kettering-Beavercreek, OH",15451,1920,0.041
Alabama,19460,"Decatur, AL",1234,519,0.017
Illinois,19500,"Decatur, IL",189,158,0.004
Indiana,19540,"Decatur, IN",164,147,0.011
Ohio,19580,"Defiance, OH",127,197,0.007
Texas,19620,"Del Rio, TX",2164,781,0.116
Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL",2301,852,0.007
Colorado,19740,"Denver-Aurora-Centennial, CO",28860,3013,0.018
Louisiana,19760,"DeRidder, LA",506,194,0.038
Iowa,19780,"Des Moines-West Des Moines, IA",5246,965,0.014
NA,19810,"Detroit Lakes, MN",268,107,0.017
Michigan,19820,"Detroit-Warren-Dearborn, MI",25454,2262,0.013
North Dakota,19860,"Dickinson, ND",381,364,0.02
Illinois,19940,"Dixon, IL",367,315,0.025
Kansas,19980,"Dodge City, KS",542,418,0.034
Alabama,20020,"Dothan, AL",1413,421,0.022
Georgia,20060,"Douglas, GA",248,187,0.014
Delaware,20100,"Dover, DE",2247,715,0.025
Georgia,20140,"Dublin, GA",1283,607,0.051
Pennsylvania,20180,"DuBois, PA",481,272,0.014
Iowa,20220,"Dubuque, IA",518,344,0.01
Minnesota,20260,"Duluth, MN-WI",1835,410,0.013
Wisconsin,20260,"Duluth, MN-WI",1835,410,0.013
Texas,20300,"Dumas, TX",188,241,0.017
Oklahoma,20340,"Duncan, OK",402,208,0.023
Colorado,20420,"Durango, CO",565,369,0.019
Oklahoma,20460,"Durant, OK",1021,309,0.05
North Carolina,20500,"Durham-Chapel Hill, NC",5453,1429,0.017
Tennessee,20540,"Dyersburg, TN",403,405,0.026
Texas,20580,"Eagle Pass, TX",1134,560,0.055
Maryland,20660,"Easton, MD",339,228,0.019
Pennsylvania,20700,"East Stroudsburg, PA",1215,435,0.016
Wisconsin,20740,"Eau Claire, WI",528,321,0.006
Colorado,20780,"Edwards, CO",232,252,0.007
Illinois,20820,"Effingham, IL",138,115,0.007
Texas,20900,"El Campo, TX",78,75,0.004
California,20940,"El Centro, CA",2094,945,0.034
Arkansas,20980,"El Dorado, AR",94,86,0.006
North Carolina,21020,"Elizabeth City, NC",1095,467,0.062
