state_name,metro,geo_name,federal_workers,margin_of_error,share_of_employment
Virginia,14140,"Bluefield, WV-VA",411,263,0.011570620196503477
West Virginia,14140,"Bluefield, WV-VA",411,263,0.011570620196503477
Arkansas,14180,"Blytheville, AR",330,326,0.020163754124404253
Louisiana,14220,"Bogalusa, LA",321,349,0.021324652893111008
Idaho,14260,"Boise City, ID",8704,1615,0.020908501285161786
Texas,14300,"Bonham, TX",916,574,0.05464741677604105
North Carolina,14380,"Boone, NC",303,338,0.010543898110449942
Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",50583,3777,0.018625512787987
New Hampshire,14460,"Boston-Cambridge-Newton, MA-NH",50583,3777,0.018625512787987
Colorado,14500,"Boulder, CO",2687,817,0.015056342210990514
Kentucky,14540,"Bowling Green, KY",1645,738,0.017194702568230042
Montana,14580,"Bozeman, MT",1832,919,0.024246595285678362
Pennsylvania,14620,"Bradford, PA",764,457,0.04435413642960813
Minnesota,14660,"Brainerd, MN",468,198,0.009969962293091328
Missouri,14700,"Branson, MO",405,302,0.014629388816644993
NA,14710,"Brattleboro, VT",292,233,0.012345679012345678
Colorado,14720,"Breckenridge, CO",432,347,0.017806355879807098
Washington,14740,"Bremerton-Silverdale-Port Orchard, WA",18482,2460,0.14572147187990317
Texas,14780,"Brenham, TX",136,180,0.00808945990958839
North Carolina,14820,"Brevard, NC",308,298,0.0205799812909261
Connecticut,14860,"Bridgeport-Stamford-Danbury, CT",6118,1765,0.012222286594441037
NA,14940,"Brigham City, UT-ID",852,375,0.026858331757140155
Mississippi,15020,"Brookhaven, MS",71,113,0.005053740479749449
Oregon,15060,"Brookings, OR",155,201,0.024420986292736726
South Dakota,15100,"Brookings, SD",161,164,0.008067344791301298
Texas,15180,"Brownsville-Harlingen, TX",5702,1429,0.031348789646432715
Texas,15220,"Brownwood, TX",320,262,0.0179061048626266
Georgia,15260,"Brunswick-St. Simons, GA",2883,1119,0.05895584957362835
Ohio,15340,"Bucyrus, OH",0,208,0
New York,15380,"Buffalo-Cheektowaga, NY",14537,2020,0.02545741744770871
Idaho,15420,"Burley, ID",366,265,0.017954378219278883
Illinois,15460,"Burlington, IA-IL",511,367,0.02396698091083908
Iowa,15460,"Burlington, IA-IL",511,367,0.02396698091083908
North Carolina,15500,"Burlington, NC",547,352,0.006087856562531302
Vermont,15540,"Burlington-South Burlington, VT",3587,894,0.027437391956185844
Montana,15580,"Butte-Silver Bow, MT",904,538,0.054543260528538674
Michigan,15620,"Cadillac, MI",580,406,0.025978679566424797
Georgia,15660,"Calhoun, GA",412,576,0.014785042704370917
Maryland,15700,"Cambridge, MD",303,223,0.01952697041953986
Ohio,15740,"Cambridge, OH",177,223,0.010557709513868177
Arkansas,15780,"Camden, AR",347,207,0.03129509379509379
Kentucky,15820,"Campbellsville, KY",173,174,0.010790918163672655
Colorado,15860,"Cañon City, CO",669,450,0.03917091164588091
NA,15900,"Canton, IL",173,119,0.01219770147359515
Ohio,15940,"Canton-Massillon, OH",2894,957,0.01503728144241511
Florida,15980,"Cape Coral-Fort Myers, FL",6539,1562,0.018079667769860953
Illinois,16020,"Cape Girardeau, MO-IL",1159,641,0.02287891349836156
Missouri,16020,"Cape Girardeau, MO-IL",1159,641,0.02287891349836156
Illinois,16060,"Carbondale, IL",284,197,0.013034099775115883
New Mexico,16100,"Carlsbad-Artesia, NM",1952,1136,0.07564132372316515
Iowa,16140,"Carroll, IA",18,23,0.0018068660911463562
Nevada,16180,"Carson City, NV",867,536,0.030333776502694004
Wyoming,16220,"Casper, WY",987,562,0.024782182941220778
Utah,16260,"Cedar City, UT",638,365,0.020396419437340153
Iowa,16300,"Cedar Rapids, IA",2297,720,0.016179930405871828
Georgia,16340,"Cedartown, GA",29,58,0.001855762462404812
Ohio,16380,"Celina, OH",492,376,0.022825330549756436
Illinois,16460,"Centralia, IL",68,73,0.0041720350941775565
Washington,16500,"Centralia, WA",938,665,0.026754898884737158
Pennsylvania,16540,"Chambersburg, PA",2857,1028,0.037734603040428985
Illinois,16580,"Champaign-Urbana, IL",1469,639,0.013026629658860148
West Virginia,16620,"Charleston, WV",2197,658,0.025520101290524923
Illinois,16660,"Charleston-Mattoon, IL",626,519,0.02812219227313567
South Carolina,16700,"Charleston-North Charleston, SC",16231,2754,0.03728059094020313
North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",23301,3149,0.015839437146304574
South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",23301,3149,0.015839437146304574
Virginia,16820,"Charlottesville, VA",3051,1031,0.02729566275407959
Georgia,16860,"Chattanooga, TN-GA",7739,1454,0.027379086609047587
Tennessee,16860,"Chattanooga, TN-GA",7739,1454,0.027379086609047587
Wyoming,16940,"Cheyenne, WY",3327,1030,0.07099114477755254
Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",94231,6765,0.019664872228728647
Indiana,16980,"Chicago-Naperville-Elgin, IL-IN",94231,6765,0.019664872228728647
Wisconsin,16980,"Chicago-Naperville-Elgin, IL-IN",94231,6765,0.019664872228728647
California,17020,"Chico, CA",1741,690,0.018428740790922177
Ohio,17060,"Chillicothe, OH",1181,544,0.03805381021427421
Indiana,17140,"Cincinnati, OH-KY-IN",27654,3220,0.02398388932060391
Kentucky,17140,"Cincinnati, OH-KY-IN",27654,3220,0.02398388932060391
Ohio,17140,"Cincinnati, OH-KY-IN",27654,3220,0.02398388932060391
West Virginia,17220,"Clarksburg, WV",2967,947,0.07780866463862372
Mississippi,17260,"Clarksdale, MS",80,105,0.010351966873706004
Kentucky,17300,"Clarksville, TN-KY",8805,1888,0.06588497627991201
Tennessee,17300,"Clarksville, TN-KY",8805,1888,0.06588497627991201
California,17340,"Clearlake, CA",313,224,0.011812212242433392
Mississippi,17380,"Cleveland, MS",0,222,0
NA,17410,"Cleveland, OH",22994,2541,0.021340059990496554
Tennessee,17420,"Cleveland, TN",1485,588,0.024848981777413362
Florida,17500,"Clewiston, FL",151,184,0.006814694467009658
Iowa,17540,"Clinton, IA",389,294,0.016880017357344325
New Mexico,17580,"Clovis, NM",2381,1036,0.08855580763937962
Puerto Rico,17620,"Coamo, PR",253,235,0.012889749337680865
NA,17650,"Cody, WY",817,688,0.0541095436783893
Idaho,17660,"Coeur d'Alene, ID",2081,863,0.024313588035985514
Michigan,17740,"Coldwater, MI",379,225,0.01936538756323131
Texas,17780,"College Station-Bryan, TX",3345,1254,0.024450860714155184
Colorado,17820,"Colorado Springs, CO",22171,2760,0.059461836984828126
Missouri,17860,"Columbia, MO",2995,990,0.026354692807236763
South Carolina,17900,"Columbia, SC",14696,2424,0.03587864346696679
Alabama,17980,"Columbus, GA-AL",7729,1579,0.059113714932541986
Georgia,17980,"Columbus, GA-AL",7729,1579,0.059113714932541986
Indiana,18020,"Columbus, IN",415,356,0.009596041343908249
Mississippi,18060,"Columbus, MS",1436,1035,0.05552548140128374
Nebraska,18100,"Columbus, NE",284,261,0.012804905541277785
Ohio,18140,"Columbus, OH",19187,2393,0.016948688413375924
New Hampshire,18180,"Concord, NH",1661,567,0.019766749970248722
Indiana,18220,"Connersville, IN",150,212,0.013863216266173753
Tennessee,18260,"Cookeville, TN",1258,598,0.0186298610905429
